"REF_DATE","GEO","DGUID","Vehicle type","Origin of manufacture","Sales","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-01","Newfoundland and Labrador","2016A000210","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169996","2.1.1.1.1","1676","","","","0"
"2021-02","Newfoundland and Labrador","2016A000210","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169996","2.1.1.1.1","1553","","","","0"
"2021-03","Newfoundland and Labrador","2016A000210","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169996","2.1.1.1.1","2606","","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169996","2.1.1.1.1","3428","","","","0"
"2021-05","Newfoundland and Labrador","2016A000210","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169996","2.1.1.1.1","3115","","","","0"
"2021-06","Newfoundland and Labrador","2016A000210","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169996","2.1.1.1.1","2909","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169996","2.1.1.1.1","2862","","","","0"
"2021-08","Newfoundland and Labrador","2016A000210","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169996","2.1.1.1.1","2492","","","","0"
"2021-09","Newfoundland and Labrador","2016A000210","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169996","2.1.1.1.1","2336","","","","0"
"2021-10","Newfoundland and Labrador","2016A000210","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169996","2.1.1.1.1","2160","","","","0"
"2021-11","Newfoundland and Labrador","2016A000210","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169996","2.1.1.1.1","2004","","","","0"
"2021-12","Newfoundland and Labrador","2016A000210","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169996","2.1.1.1.1","1583","","","","0"
"2021-01","Newfoundland and Labrador","2016A000210","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169998","2.1.1.2.1","69878","","","","0"
"2021-02","Newfoundland and Labrador","2016A000210","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169998","2.1.1.2.1","66599","","","","0"
"2021-03","Newfoundland and Labrador","2016A000210","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169998","2.1.1.2.1","108877","","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169998","2.1.1.2.1","138438","","","","0"
"2021-05","Newfoundland and Labrador","2016A000210","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169998","2.1.1.2.1","123616","","","","0"
"2021-06","Newfoundland and Labrador","2016A000210","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169998","2.1.1.2.1","117694","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169998","2.1.1.2.1","116328","","","","0"
"2021-08","Newfoundland and Labrador","2016A000210","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169998","2.1.1.2.1","100894","","","","0"
"2021-09","Newfoundland and Labrador","2016A000210","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169998","2.1.1.2.1","95577","","","","0"
"2021-10","Newfoundland and Labrador","2016A000210","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169998","2.1.1.2.1","90831","","","","0"
"2021-11","Newfoundland and Labrador","2016A000210","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169998","2.1.1.2.1","88132","","","","0"
"2021-12","Newfoundland and Labrador","2016A000210","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169998","2.1.1.2.1","72311","","","","0"
"2021-01","Prince Edward Island","2016A000211","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170019","3.1.1.1.1","481","","","","0"
"2021-02","Prince Edward Island","2016A000211","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170019","3.1.1.1.1","489","","","","0"
"2021-03","Prince Edward Island","2016A000211","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170019","3.1.1.1.1","680","","","","0"
"2021-04","Prince Edward Island","2016A000211","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170019","3.1.1.1.1","867","","","","0"
"2021-05","Prince Edward Island","2016A000211","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170019","3.1.1.1.1","776","","","","0"
"2021-06","Prince Edward Island","2016A000211","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170019","3.1.1.1.1","856","","","","0"
"2021-07","Prince Edward Island","2016A000211","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170019","3.1.1.1.1","852","","","","0"
"2021-08","Prince Edward Island","2016A000211","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170019","3.1.1.1.1","683","","","","0"
"2021-09","Prince Edward Island","2016A000211","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170019","3.1.1.1.1","699","","","","0"
"2021-10","Prince Edward Island","2016A000211","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170019","3.1.1.1.1","601","","","","0"
"2021-11","Prince Edward Island","2016A000211","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170019","3.1.1.1.1","464","","","","0"
"2021-12","Prince Edward Island","2016A000211","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170019","3.1.1.1.1","429","","","","0"
"2021-01","Prince Edward Island","2016A000211","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170021","3.1.1.2.1","18668","","","","0"
"2021-02","Prince Edward Island","2016A000211","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170021","3.1.1.2.1","20476","","","","0"
"2021-03","Prince Edward Island","2016A000211","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170021","3.1.1.2.1","26509","","","","0"
"2021-04","Prince Edward Island","2016A000211","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170021","3.1.1.2.1","33029","","","","0"
"2021-05","Prince Edward Island","2016A000211","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170021","3.1.1.2.1","30522","","","","0"
"2021-06","Prince Edward Island","2016A000211","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170021","3.1.1.2.1","33152","","","","0"
"2021-07","Prince Edward Island","2016A000211","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170021","3.1.1.2.1","33054","","","","0"
"2021-08","Prince Edward Island","2016A000211","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170021","3.1.1.2.1","26326","","","","0"
"2021-09","Prince Edward Island","2016A000211","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170021","3.1.1.2.1","26846","","","","0"
"2021-10","Prince Edward Island","2016A000211","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170021","3.1.1.2.1","22784","","","","0"
"2021-11","Prince Edward Island","2016A000211","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170021","3.1.1.2.1","19152","","","","0"
"2021-12","Prince Edward Island","2016A000211","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170021","3.1.1.2.1","18020","","","","0"
"2021-01","Nova Scotia","2016A000212","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170042","4.1.1.1.1","2875","","","","0"
"2021-02","Nova Scotia","2016A000212","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170042","4.1.1.1.1","2972","","","","0"
"2021-03","Nova Scotia","2016A000212","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170042","4.1.1.1.1","4514","","","","0"
"2021-04","Nova Scotia","2016A000212","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170042","4.1.1.1.1","4789","","","","0"
"2021-05","Nova Scotia","2016A000212","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170042","4.1.1.1.1","3687","","","","0"
"2021-06","Nova Scotia","2016A000212","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170042","4.1.1.1.1","4862","","","","0"
"2021-07","Nova Scotia","2016A000212","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170042","4.1.1.1.1","4801","","","","0"
"2021-08","Nova Scotia","2016A000212","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170042","4.1.1.1.1","4428","","","","0"
"2021-09","Nova Scotia","2016A000212","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170042","4.1.1.1.1","3881","","","","0"
"2021-10","Nova Scotia","2016A000212","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170042","4.1.1.1.1","3307","","","","0"
"2021-11","Nova Scotia","2016A000212","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170042","4.1.1.1.1","2935","","","","0"
"2021-12","Nova Scotia","2016A000212","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170042","4.1.1.1.1","2445","","","","0"
"2021-01","Nova Scotia","2016A000212","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170044","4.1.1.2.1","115344","","","","0"
"2021-02","Nova Scotia","2016A000212","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170044","4.1.1.2.1","120797","","","","0"
"2021-03","Nova Scotia","2016A000212","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170044","4.1.1.2.1","200876","","","","0"
"2021-04","Nova Scotia","2016A000212","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170044","4.1.1.2.1","193228","","","","0"
"2021-05","Nova Scotia","2016A000212","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170044","4.1.1.2.1","153729","","","","0"
"2021-06","Nova Scotia","2016A000212","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170044","4.1.1.2.1","201900","","","","0"
"2021-07","Nova Scotia","2016A000212","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170044","4.1.1.2.1","198274","","","","0"
"2021-08","Nova Scotia","2016A000212","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170044","4.1.1.2.1","194697","","","","0"
"2021-09","Nova Scotia","2016A000212","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170044","4.1.1.2.1","158856","","","","0"
"2021-10","Nova Scotia","2016A000212","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170044","4.1.1.2.1","136342","","","","0"
"2021-11","Nova Scotia","2016A000212","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170044","4.1.1.2.1","144215","","","","0"
"2021-12","Nova Scotia","2016A000212","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170044","4.1.1.2.1","120531","","","","0"
"2021-01","New Brunswick","2016A000213","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170069","5.1.1.1.1","2232","","","","0"
"2021-02","New Brunswick","2016A000213","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170069","5.1.1.1.1","2388","","","","0"
"2021-03","New Brunswick","2016A000213","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170069","5.1.1.1.1","3732","","","","0"
"2021-04","New Brunswick","2016A000213","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170069","5.1.1.1.1","4123","","","","0"
"2021-05","New Brunswick","2016A000213","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170069","5.1.1.1.1","3802","","","","0"
